0.05,25
0.05,25
0.07,25
0.07,25
0.08,25
0.1,25
0.1,25
0.12,25
0.12,26
0.13,26
0.15,26
0.15,27
0.17,27
0.18,28
0.18,28
0.2,28
0.2,28
0.22,29
0.23,29
0.23,29
0.25,29
0.25,29
0.27,30
0.28,30
0.28,30
0.3,30
0.3,30
0.32,30
0.33,31
0.33,31
0.35,31
0.35,31
0.37,31
0.38,31
0.38,31
0.4,31
0.42,31
0.42,32
0.43,32
0.43,32
0.45,32
0.47,32
0.47,32
0.48,32
0.48,32
0.5,32
0.52,31
0.52,31
0.53,31
0.53,30
0.55,30
0.57,29
0.57,29
0.58,28
0.58,28
0.6,28
0.62,27
0.62,27
0.63,27
0.63,26
0.65,26
0.67,26
0.67,26
0.68,26
0.7,25
0.7,25
0.72,25
0.72,25
0.73,25
0.75,25
0.75,25
0.77,25
0.77,25
0.78,25
0.8,24
0.8,24
0.82,24
0.82,24
0.83,24
0.85,24
0.85,24
0.87,24
0.87,24
0.88,24
0.9,24
0.9,24
0.92,24
0.92,24
0.93,24
0.95,24
0.95,24
0.97,24
0.98,24
0.98,24
1.0,24
1.0,24
1.02,24
